timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp,harris_votes_statewide,trump_votes_statewide,other_votes_statewide
2024-11-05T15-30-22,GA,Forsyth,13117,364,169,0,0.0,0.00,51340,37811,0
2024-11-05T15-30-22,GA,Gwinnett,13135,37447,51171,0,0.0,0.00,51340,37811,0
